file_path,size_bytes,category,file_type,contains_imports,contains_exports,contains_symbols,is_source_code,is_config,is_artifact,is_log,is_documentation,audited,evidence_refs,notes
.claude/settings.local.json,64,config_or_root,json,no,no,no,no,yes,no,no,no,PENDING,,Claude Code local settings
.gitignore,692,repo_root,gitignore,no,no,no,no,yes,no,no,no,PENDING,,Git ignore rules
.vscode/settings.json,42,config_or_root,json,no,no,no,no,yes,no,no,no,PENDING,,VSCode workspace settings
CLAUDE.md,302,documentation,md,no,no,no,no,no,no,no,yes,PENDING,,Claude Code project instructions
docs/AUDIT_FAILURES_AND_RULES.md,17718,documentation,md,no,no,no,no,no,no,no,yes,PENDING,,Audit failure catalog and enforcement rules
docs/CLAUDE_ZERO_OMISSION_TERMINATION_GRADE_AUDIT_DIRECTIVE.md,13529,documentation,md,no,no,no,no,no,no,no,yes,PENDING,,Full audit directive prompt
docs/FORMAL_REJECTION_MEMO_AUDIT_PACKAGE.md,10893,documentation,md,no,no,no,no,no,no,no,yes,PENDING,,Formal rejection memo for prior audit
docs/PROJECT_ARCHITECTURE.md,65867,documentation,md,no,no,no,no,no,no,no,yes,PENDING,,Project architecture documentation
docs/UPDATED_PROMPT.md,24440,documentation,md,no,no,no,no,no,no,no,yes,PENDING,,Updated audit prompt
docs/signal-logs-2026-03-09 (1).csv,24281,log_file,csv,no,no,no,no,no,no,yes,no,PENDING,,Signal logs export (duplicate)
docs/signal-logs-2026-03-09.csv,129763,log_file,csv,no,no,no,no,no,no,yes,no,PENDING,,Signal logs export
options-bot/.env,580,config_or_root,env,no,no,no,no,yes,no,no,no,PENDING,,Environment variables (secrets)
options-bot/.env.example,1475,config_or_root,env,no,no,no,no,yes,no,no,no,PENDING,,Example environment variables template
options-bot/backend/__init__.py,0,backend_python,py,no,no,no,yes,no,no,no,no,PENDING,,Backend package init (empty)
options-bot/backend/app.py,15429,backend_python,py,yes,yes,yes,yes,no,no,no,no,PENDING,,FastAPI application entry point and middleware
options-bot/backend/database.py,6366,backend_python,py,yes,yes,yes,yes,no,no,no,no,PENDING,,SQLite database init and connection management
options-bot/backend/db_log_handler.py,3055,backend_python,py,yes,yes,yes,yes,no,no,no,no,PENDING,,Thread-aware DB logging handler for training jobs
options-bot/backend/routes/__init__.py,0,backend_python,py,no,no,no,yes,no,no,no,no,PENDING,,Routes package init (empty)
options-bot/backend/routes/models.py,40577,backend_python,py,yes,yes,yes,yes,no,no,no,no,PENDING,,Model training and management API routes
options-bot/backend/routes/profiles.py,16143,backend_python,py,yes,yes,yes,yes,no,no,no,no,PENDING,,Profile CRUD API routes
options-bot/backend/routes/signals.py,4255,backend_python,py,yes,yes,yes,yes,no,no,no,no,PENDING,,Signal log API routes
options-bot/backend/routes/system.py,17581,backend_python,py,yes,yes,yes,yes,no,no,no,no,PENDING,,System status and control API routes
options-bot/backend/routes/trades.py,7171,backend_python,py,yes,yes,yes,yes,no,no,no,no,PENDING,,Trade history API routes
options-bot/backend/routes/trading.py,24186,backend_python,py,yes,yes,yes,yes,no,no,no,no,PENDING,,Live trading start/stop API routes
options-bot/backend/schemas.py,9118,backend_python,py,yes,yes,yes,yes,no,no,no,no,PENDING,,Pydantic schemas for API request/response models
options-bot/checkpoints/epoch=0-step=48.ckpt,12007022,model_checkpoint,ckpt,no,no,no,no,no,yes,no,no,PENDING,,TFT training checkpoint epoch 0
options-bot/checkpoints/epoch=1-step=96.ckpt,12628650,model_checkpoint,ckpt,no,no,no,no,no,yes,no,no,PENDING,,TFT training checkpoint epoch 1
options-bot/checkpoints/epoch=10-step=517.ckpt,12007278,model_checkpoint,ckpt,no,no,no,no,no,yes,no,no,PENDING,,TFT training checkpoint epoch 10 step 517
options-bot/checkpoints/epoch=10-step=528.ckpt,12007726,model_checkpoint,ckpt,no,no,no,no,no,yes,no,no,PENDING,,TFT training checkpoint epoch 10 step 528
options-bot/checkpoints/epoch=12-step=611.ckpt,12007790,model_checkpoint,ckpt,no,no,no,no,no,yes,no,no,PENDING,,TFT training checkpoint epoch 12
options-bot/checkpoints/epoch=13-step=658.ckpt,11883426,model_checkpoint,ckpt,no,no,no,no,no,yes,no,no,PENDING,,TFT training checkpoint epoch 13 step 658
options-bot/checkpoints/epoch=13-step=672.ckpt,12007662,model_checkpoint,ckpt,no,no,no,no,no,yes,no,no,PENDING,,TFT training checkpoint epoch 13 step 672
options-bot/checkpoints/epoch=14-step=705-v1.ckpt,12007726,model_checkpoint,ckpt,no,no,no,no,no,yes,no,no,PENDING,,TFT training checkpoint epoch 14 v1
