manifest_file_path,normalized_path,audit_section,audit_heading,audited,reason,evidence_refs,verdict
.claude/settings.local.json,.claude/settings.local.json,Other,.claude/settings.local.json,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
.gitignore,.gitignore,Other,.gitignore,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
.vscode/settings.json,.vscode/settings.json,Other,.vscode/settings.json,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
CLAUDE.md,CLAUDE.md,Other,CLAUDE.md,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
docs/AUDIT_FAILURES_AND_RULES.md,docs/AUDIT_FAILURES_AND_RULES.md,Other,docs/AUDIT_FAILURES_AND_RULES.md,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
docs/CLAUDE_ZERO_OMISSION_TERMINATION_GRADE_AUDIT_DIRECTIVE.md,docs/CLAUDE_ZERO_OMISSION_TERMINATION_GRADE_AUDIT_DIRECTIVE.md,Other,docs/CLAUDE_ZERO_OMISSION_TERMINATION_GRADE_AUDIT_DIRECTIVE.md,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
docs/FORMAL_REJECTION_MEMO_AUDIT_PACKAGE.md,docs/FORMAL_REJECTION_MEMO_AUDIT_PACKAGE.md,Other,docs/FORMAL_REJECTION_MEMO_AUDIT_PACKAGE.md,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
docs/PROJECT_ARCHITECTURE.md,docs/PROJECT_ARCHITECTURE.md,Other,docs/PROJECT_ARCHITECTURE.md,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
docs/UPDATED_PROMPT.md,docs/UPDATED_PROMPT.md,Other,docs/UPDATED_PROMPT.md,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
docs/signal-logs-2026-03-09 (1).csv,docs/signal-logs-2026-03-09 (1).csv,Other,docs/signal-logs-2026-03-09 (1).csv,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
docs/signal-logs-2026-03-09.csv,docs/signal-logs-2026-03-09.csv,Other,docs/signal-logs-2026-03-09.csv,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
options-bot/.env,options-bot/.env,Other,options-bot/.env,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
options-bot/.env.example,options-bot/.env.example,Other,options-bot/.env.example,YES,,03_FILE_BY_FILE_AUDIT.md#Other,PASS
options-bot/__pycache__/config.cpython-313.pyc,options-bot/__pycache__/config.cpython-313.pyc,Other,options-bot/__pycache__/config.cpython-313.pyc,YES,__pycache__ bytecode — added to audit as build artifact,03_FILE_BY_FILE_AUDIT.md#Other,PASS
options-bot/__pycache__/main.cpython-313.pyc,options-bot/__pycache__/main.cpython-313.pyc,Other,options-bot/__pycache__/main.cpython-313.pyc,YES,__pycache__ bytecode — added to audit as build artifact,03_FILE_BY_FILE_AUDIT.md#Other,PASS
options-bot/backend/__init__.py,options-bot/backend/__init__.py,Python,options-bot/backend/__init__.py,YES,,03_FILE_BY_FILE_AUDIT.md#Python,PASS
options-bot/backend/__pycache__/__init__.cpython-313.pyc,options-bot/backend/__pycache__/__init__.cpython-313.pyc,Other,options-bot/backend/__pycache__/__init__.cpython-313.pyc,YES,__pycache__ bytecode — added to audit as build artifact,03_FILE_BY_FILE_AUDIT.md#Other,PASS
options-bot/backend/__pycache__/app.cpython-313.pyc,options-bot/backend/__pycache__/app.cpython-313.pyc,Other,options-bot/backend/__pycache__/app.cpython-313.pyc,YES,__pycache__ bytecode — added to audit as build artifact,03_FILE_BY_FILE_AUDIT.md#Other,PASS
options-bot/backend/__pycache__/database.cpython-313.pyc,options-bot/backend/__pycache__/database.cpython-313.pyc,Other,options-bot/backend/__pycache__/database.cpython-313.pyc,YES,__pycache__ bytecode — added to audit as build artifact,03_FILE_BY_FILE_AUDIT.md#Other,PASS
options-bot/backend/__pycache__/db_log_handler.cpython-313.pyc,options-bot/backend/__pycache__/db_log_handler.cpython-313.pyc,Other,options-bot/backend/__pycache__/db_log_handler.cpython-313.pyc,YES,__pycache__ bytecode — added to audit as build artifact,03_FILE_BY_FILE_AUDIT.md#Other,PASS
