manifest_file_path,normalized_path,audit_section,audit_heading,audited,reason,evidence_refs,verdict
.claude/settings.local.json,.claude/settings.local.json,direct_match,.claude/settings.local.json,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
.gitignore,.gitignore,direct_match,.gitignore,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
.vscode/settings.json,.vscode/settings.json,direct_match,.vscode/settings.json,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
CLAUDE.md,CLAUDE.md,direct_match,CLAUDE.md,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
docs/AUDIT_FAILURES_AND_RULES.md,docs/AUDIT_FAILURES_AND_RULES.md,direct_match,docs/AUDIT_FAILURES_AND_RULES.md,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
docs/CLAUDE_ZERO_OMISSION_TERMINATION_GRADE_AUDIT_DIRECTIVE.md,docs/CLAUDE_ZERO_OMISSION_TERMINATION_GRADE_AUDIT_DIRECTIVE.md,direct_match,docs/CLAUDE_ZERO_OMISSION_TERMINATION_GRADE_AUDIT_DIRECTIVE.md,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
docs/FORMAL_REJECTION_MEMO_AUDIT_PACKAGE.md,docs/FORMAL_REJECTION_MEMO_AUDIT_PACKAGE.md,direct_match,docs/FORMAL_REJECTION_MEMO_AUDIT_PACKAGE.md,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
docs/PROJECT_ARCHITECTURE.md,docs/PROJECT_ARCHITECTURE.md,direct_match,docs/PROJECT_ARCHITECTURE.md,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
docs/UPDATED_PROMPT.md,docs/UPDATED_PROMPT.md,direct_match,docs/UPDATED_PROMPT.md,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
docs/signal-logs-2026-03-09 (1).csv,docs/signal-logs-2026-03-09 (1).csv,direct_match,docs/signal-logs-2026-03-09 (1).csv,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
docs/signal-logs-2026-03-09.csv,docs/signal-logs-2026-03-09.csv,direct_match,docs/signal-logs-2026-03-09.csv,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/.env,options-bot/.env,direct_match,options-bot/.env,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/.env.example,options-bot/.env.example,direct_match,options-bot/.env.example,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/__pycache__/config.cpython-313.pyc,options-bot/__pycache__/config.cpython-313.pyc,direct_match,options-bot/__pycache__/config.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/__pycache__/main.cpython-313.pyc,options-bot/__pycache__/main.cpython-313.pyc,direct_match,options-bot/__pycache__/main.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/__init__.py,options-bot/backend/__init__.py,direct_match,options-bot/backend/__init__.py,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/__pycache__/__init__.cpython-313.pyc,options-bot/backend/__pycache__/__init__.cpython-313.pyc,direct_match,options-bot/backend/__pycache__/__init__.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/__pycache__/app.cpython-313.pyc,options-bot/backend/__pycache__/app.cpython-313.pyc,direct_match,options-bot/backend/__pycache__/app.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/__pycache__/database.cpython-313.pyc,options-bot/backend/__pycache__/database.cpython-313.pyc,direct_match,options-bot/backend/__pycache__/database.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/__pycache__/db_log_handler.cpython-313.pyc,options-bot/backend/__pycache__/db_log_handler.cpython-313.pyc,direct_match,options-bot/backend/__pycache__/db_log_handler.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/__pycache__/schemas.cpython-313.pyc,options-bot/backend/__pycache__/schemas.cpython-313.pyc,direct_match,options-bot/backend/__pycache__/schemas.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/app.py,options-bot/backend/app.py,direct_match,options-bot/backend/app.py,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/database.py,options-bot/backend/database.py,direct_match,options-bot/backend/database.py,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/db_log_handler.py,options-bot/backend/db_log_handler.py,direct_match,options-bot/backend/db_log_handler.py,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/routes/__init__.py,options-bot/backend/routes/__init__.py,direct_match,options-bot/backend/routes/__init__.py,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/routes/__pycache__/__init__.cpython-313.pyc,options-bot/backend/routes/__pycache__/__init__.cpython-313.pyc,direct_match,options-bot/backend/routes/__pycache__/__init__.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/routes/__pycache__/models.cpython-313.pyc,options-bot/backend/routes/__pycache__/models.cpython-313.pyc,direct_match,options-bot/backend/routes/__pycache__/models.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/routes/__pycache__/profiles.cpython-313.pyc,options-bot/backend/routes/__pycache__/profiles.cpython-313.pyc,direct_match,options-bot/backend/routes/__pycache__/profiles.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/routes/__pycache__/signals.cpython-313.pyc,options-bot/backend/routes/__pycache__/signals.cpython-313.pyc,direct_match,options-bot/backend/routes/__pycache__/signals.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/routes/__pycache__/system.cpython-313.pyc,options-bot/backend/routes/__pycache__/system.cpython-313.pyc,direct_match,options-bot/backend/routes/__pycache__/system.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/routes/__pycache__/trades.cpython-313.pyc,options-bot/backend/routes/__pycache__/trades.cpython-313.pyc,direct_match,options-bot/backend/routes/__pycache__/trades.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/routes/__pycache__/trading.cpython-313.pyc,options-bot/backend/routes/__pycache__/trading.cpython-313.pyc,direct_match,options-bot/backend/routes/__pycache__/trading.cpython-313.pyc,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/routes/models.py,options-bot/backend/routes/models.py,direct_match,options-bot/backend/routes/models.py,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/routes/profiles.py,options-bot/backend/routes/profiles.py,direct_match,options-bot/backend/routes/profiles.py,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
options-bot/backend/routes/signals.py,options-bot/backend/routes/signals.py,direct_match,options-bot/backend/routes/signals.py,YES,,03_FILE_BY_FILE_AUDIT.md,PASS
