time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source
2025-01-02 09:30:00-05:00,BT_SPY_scalp,,bt_1,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,BT_SPY_scalp,,bt_1,SPY,buy,market,fill,589.38,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-03 09:30:00-05:00,BT_SPY_scalp,,bt_2,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-03 09:30:00-05:00,BT_SPY_scalp,,bt_2,SPY,sell,market,fill,587.52,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-08 09:30:00-05:00,BT_SPY_scalp,,bt_3,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-08 09:30:00-05:00,BT_SPY_scalp,,bt_3,SPY,buy,market,fill,588.77,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-10 09:30:00-05:00,BT_SPY_scalp,,bt_4,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-10 09:30:00-05:00,BT_SPY_scalp,,bt_5,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-10 09:30:00-05:00,BT_SPY_scalp,,bt_4,SPY,sell,market,fill,585.8,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-10 09:30:00-05:00,BT_SPY_scalp,,bt_5,SPY,buy,market,fill,585.8,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-13 09:30:00-05:00,BT_SPY_scalp,,bt_6,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-13 09:30:00-05:00,BT_SPY_scalp,,bt_7,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-13 09:30:00-05:00,BT_SPY_scalp,,bt_6,SPY,sell,market,fill,575.75,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-13 09:30:00-05:00,BT_SPY_scalp,,bt_7,SPY,buy,market,fill,575.75,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-14 09:30:00-05:00,BT_SPY_scalp,,bt_8,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-14 09:30:00-05:00,BT_SPY_scalp,,bt_9,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-14 09:30:00-05:00,BT_SPY_scalp,,bt_8,SPY,sell,market,fill,584.34,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-14 09:30:00-05:00,BT_SPY_scalp,,bt_9,SPY,buy,market,fill,584.34,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-15 09:30:00-05:00,BT_SPY_scalp,,bt_10,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-15 09:30:00-05:00,BT_SPY_scalp,,bt_10,SPY,sell,market,fill,590.27,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-16 09:30:00-05:00,BT_SPY_scalp,,bt_11,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-16 09:30:00-05:00,BT_SPY_scalp,,bt_11,SPY,buy,market,fill,594.11,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-17 09:30:00-05:00,BT_SPY_scalp,,bt_12,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-17 09:30:00-05:00,BT_SPY_scalp,,bt_13,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-17 09:30:00-05:00,BT_SPY_scalp,,bt_12,SPY,sell,market,fill,596.92,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-17 09:30:00-05:00,BT_SPY_scalp,,bt_13,SPY,buy,market,fill,596.92,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-21 09:30:00-05:00,BT_SPY_scalp,,bt_14,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-21 09:30:00-05:00,BT_SPY_scalp,,bt_14,SPY,sell,market,fill,600.69,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-23 09:30:00-05:00,BT_SPY_scalp,,bt_15,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-23 09:30:00-05:00,BT_SPY_scalp,,bt_15,SPY,buy,market,fill,605.82,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-24 09:30:00-05:00,BT_SPY_scalp,,bt_16,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-24 09:30:00-05:00,BT_SPY_scalp,,bt_16,SPY,sell,market,fill,609.77,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-27 09:30:00-05:00,BT_SPY_scalp,,bt_17,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-27 09:30:00-05:00,BT_SPY_scalp,,bt_17,SPY,buy,market,fill,594.78,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-28 09:30:00-05:00,BT_SPY_scalp,,bt_18,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-28 09:30:00-05:00,BT_SPY_scalp,,bt_19,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-28 09:30:00-05:00,BT_SPY_scalp,,bt_18,SPY,sell,market,fill,600.53,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-28 09:30:00-05:00,BT_SPY_scalp,,bt_19,SPY,buy,market,fill,600.53,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-29 09:30:00-05:00,BT_SPY_scalp,,bt_20,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-29 09:30:00-05:00,BT_SPY_scalp,,bt_21,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-29 09:30:00-05:00,BT_SPY_scalp,,bt_20,SPY,sell,market,fill,603.66,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-29 09:30:00-05:00,BT_SPY_scalp,,bt_21,SPY,buy,market,fill,603.66,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-30 09:30:00-05:00,BT_SPY_scalp,,bt_22,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-30 09:30:00-05:00,BT_SPY_scalp,,bt_22,SPY,sell,market,fill,604.01,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-03 09:30:00-05:00,BT_SPY_scalp,,bt_23,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-03 09:30:00-05:00,BT_SPY_scalp,,bt_23,SPY,buy,market,fill,592.66,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-04 09:30:00-05:00,BT_SPY_scalp,,bt_24,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-04 09:30:00-05:00,BT_SPY_scalp,,bt_25,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-04 09:30:00-05:00,BT_SPY_scalp,,bt_24,SPY,sell,market,fill,597.82,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-04 09:30:00-05:00,BT_SPY_scalp,,bt_25,SPY,buy,market,fill,597.82,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-05 09:30:00-05:00,BT_SPY_scalp,,bt_26,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-05 09:30:00-05:00,BT_SPY_scalp,,bt_27,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-05 09:30:00-05:00,BT_SPY_scalp,,bt_26,SPY,sell,market,fill,600.64,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-05 09:30:00-05:00,BT_SPY_scalp,,bt_27,SPY,buy,market,fill,600.64,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-06 09:30:00-05:00,BT_SPY_scalp,,bt_28,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-06 09:30:00-05:00,BT_SPY_scalp,,bt_29,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-06 09:30:00-05:00,BT_SPY_scalp,,bt_28,SPY,sell,market,fill,605.93,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-06 09:30:00-05:00,BT_SPY_scalp,,bt_29,SPY,buy,market,fill,605.93,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-07 09:30:00-05:00,BT_SPY_scalp,,bt_30,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-07 09:30:00-05:00,BT_SPY_scalp,,bt_31,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-07 09:30:00-05:00,BT_SPY_scalp,,bt_30,SPY,sell,market,fill,606.83,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-07 09:30:00-05:00,BT_SPY_scalp,,bt_31,SPY,buy,market,fill,606.83,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-10 09:30:00-05:00,BT_SPY_scalp,,bt_32,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-10 09:30:00-05:00,BT_SPY_scalp,,bt_33,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-10 09:30:00-05:00,BT_SPY_scalp,,bt_32,SPY,sell,market,fill,604.0,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-10 09:30:00-05:00,BT_SPY_scalp,,bt_33,SPY,buy,market,fill,604.0,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-11 09:30:00-05:00,BT_SPY_scalp,,bt_34,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-11 09:30:00-05:00,BT_SPY_scalp,,bt_35,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-11 09:30:00-05:00,BT_SPY_scalp,,bt_34,SPY,sell,market,fill,602.5,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-11 09:30:00-05:00,BT_SPY_scalp,,bt_35,SPY,buy,market,fill,602.5,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-12 09:30:00-05:00,BT_SPY_scalp,,bt_36,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-12 09:30:00-05:00,BT_SPY_scalp,,bt_36,SPY,sell,market,fill,599.26,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-14 09:30:00-05:00,BT_SPY_scalp,,bt_37,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-14 09:30:00-05:00,BT_SPY_scalp,,bt_37,SPY,buy,market,fill,609.98,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-18 09:30:00-05:00,BT_SPY_scalp,,bt_38,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-18 09:30:00-05:00,BT_SPY_scalp,,bt_39,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-18 09:30:00-05:00,BT_SPY_scalp,,bt_38,SPY,sell,market,fill,610.86,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-18 09:30:00-05:00,BT_SPY_scalp,,bt_39,SPY,buy,market,fill,610.86,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-19 09:30:00-05:00,BT_SPY_scalp,,bt_40,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-19 09:30:00-05:00,BT_SPY_scalp,,bt_41,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-19 09:30:00-05:00,BT_SPY_scalp,,bt_40,SPY,sell,market,fill,610.04,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-19 09:30:00-05:00,BT_SPY_scalp,,bt_41,SPY,buy,market,fill,610.04,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-20 09:30:00-05:00,BT_SPY_scalp,,bt_42,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-20 09:30:00-05:00,BT_SPY_scalp,,bt_42,SPY,sell,market,fill,611.51,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-21 09:30:00-05:00,BT_SPY_scalp,,bt_43,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-21 09:30:00-05:00,BT_SPY_scalp,,bt_43,SPY,buy,market,fill,610.24,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-24 09:30:00-05:00,BT_SPY_scalp,,bt_44,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-24 09:30:00-05:00,BT_SPY_scalp,,bt_45,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-24 09:30:00-05:00,BT_SPY_scalp,,bt_44,SPY,sell,market,fill,601.98,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-24 09:30:00-05:00,BT_SPY_scalp,,bt_45,SPY,buy,market,fill,601.98,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-25 09:30:00-05:00,BT_SPY_scalp,,bt_46,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-25 09:30:00-05:00,BT_SPY_scalp,,bt_47,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-25 09:30:00-05:00,BT_SPY_scalp,,bt_46,SPY,sell,market,fill,597.2,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-25 09:30:00-05:00,BT_SPY_scalp,,bt_47,SPY,buy,market,fill,597.2,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-26 09:30:00-05:00,BT_SPY_scalp,,bt_48,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-26 09:30:00-05:00,BT_SPY_scalp,,bt_49,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-26 09:30:00-05:00,BT_SPY_scalp,,bt_48,SPY,sell,market,fill,596.02,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-26 09:30:00-05:00,BT_SPY_scalp,,bt_49,SPY,buy,market,fill,596.02,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-27 09:30:00-05:00,BT_SPY_scalp,,bt_50,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-27 09:30:00-05:00,BT_SPY_scalp,,bt_51,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-27 09:30:00-05:00,BT_SPY_scalp,,bt_50,SPY,sell,market,fill,596.82,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-27 09:30:00-05:00,BT_SPY_scalp,,bt_51,SPY,buy,market,fill,596.82,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-28 09:30:00-05:00,BT_SPY_scalp,,bt_52,SPY,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-28 09:30:00-05:00,BT_SPY_scalp,,bt_53,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-02-28 09:30:00-05:00,BT_SPY_scalp,,bt_52,SPY,sell,market,fill,585.57,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-02-28 09:30:00-05:00,BT_SPY_scalp,,bt_53,SPY,buy,market,fill,585.57,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,
