file,symbol_name,symbol_type,line,exported,used_by,references,behavior_impact,evidence_refs,verdict
options-bot/backend/app.py,logger,variable,26,TRUE,options-bot/backend/database.py; options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py; options-bot/backend/routes/signals.py; options-bot/backend/routes/system.py; options-bot/backend/routes/trades.py; options-bot/backend/routes/trading.py; options-bot/data/alpaca_provider.py; options-bot/data/earnings_calendar.py; options-bot/data/greeks_calculator.py...,1559,variable,,
options-bot/backend/app.py,_active_backtests,variable,29,FALSE,,0,variable,,
options-bot/backend/app.py,_active_backtests_lock,variable,30,FALSE,,0,variable,,
options-bot/backend/app.py,_store_backtest_result,function,37,FALSE,,0,function logic,,
options-bot/backend/app.py,_backtest_job,function,66,FALSE,,0,function logic,,
options-bot/backend/app.py,@asynccontextmanager,decorator,192,FALSE,,0,decorator,,
options-bot/backend/app.py,lifespan,function,193,TRUE,,0,function logic,,
options-bot/backend/app.py,app,variable,233,TRUE,options-bot/main.py; options-bot/scripts/startup_check.py; options-bot/scripts/validate_data.py,5,variable,,
options-bot/backend/app.py,backtest_router,variable,267,TRUE,,0,variable,,
options-bot/backend/app.py,run_backtest_endpoint,function,271,TRUE,,0,function logic,,
options-bot/backend/app.py,get_backtest_results,function,363,TRUE,,0,function logic,,
options-bot/backend/app.py,_UI_DIST,variable,419,FALSE,,0,variable,,
options-bot/backend/app.py,_save,function,42,FALSE,options-bot/ml/incremental_trainer.py; options-bot/ml/swing_classifier_trainer.py; options-bot/ml/tft_trainer.py,7,function logic,,
options-bot/backend/app.py,profile_row,variable,290,TRUE,,0,variable,,
options-bot/backend/app.py,model_path,variable,291,TRUE,options-bot/backend/routes/models.py; options-bot/main.py; options-bot/ml/ensemble_predictor.py; options-bot/ml/incremental_trainer.py; options-bot/ml/lgbm_predictor.py; options-bot/ml/lgbm_trainer.py; options-bot/ml/scalp_predictor.py; options-bot/ml/scalp_trainer.py; options-bot/ml/swing_classifier_predictor.py; options-bot/ml/swing_classifier_trainer.py...,195,variable,,
options-bot/backend/app.py,symbols,variable,334,TRUE,options-bot/backend/database.py; options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py; options-bot/backend/routes/system.py; options-bot/backend/routes/trading.py; options-bot/backend/schemas.py; options-bot/data/options_data_fetcher.py; options-bot/data/theta_provider.py; options-bot/data/validator.py; options-bot/main.py...,77,variable,,
options-bot/backend/app.py,symbol,variable,335,TRUE,options-bot/backend/database.py; options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py; options-bot/backend/routes/signals.py; options-bot/backend/routes/trades.py; options-bot/backend/schemas.py; options-bot/data/alpaca_provider.py; options-bot/data/earnings_calendar.py; options-bot/data/options_data_fetcher.py; options-bot/data/provider.py...,548,variable,,
options-bot/backend/app.py,preset,variable,336,TRUE,options-bot/backend/database.py; options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py; options-bot/backend/routes/system.py; options-bot/backend/routes/trading.py; options-bot/backend/schemas.py; options-bot/config.py; options-bot/data/options_data_fetcher.py; options-bot/main.py; options-bot/ml/ensemble_predictor.py...,329,variable,,
options-bot/backend/app.py,thread,variable,338,TRUE,options-bot/backend/db_log_handler.py; options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py; options-bot/backend/routes/system.py; options-bot/backend/routes/trading.py; options-bot/main.py; options-bot/ml/incremental_trainer.py; options-bot/risk/risk_manager.py; options-bot/strategies/base_strategy.py; options-bot/utils/alerter.py,44,variable,,
options-bot/backend/app.py,serve_spa,function,430,TRUE,,0,function logic,,
options-bot/backend/app.py,start_dt,variable,100,TRUE,,0,variable,,
options-bot/backend/app.py,end_dt,variable,101,TRUE,,0,variable,,
options-bot/backend/app.py,result,variable,103,TRUE,options-bot/backend/routes/models.py; options-bot/backend/schemas.py; options-bot/data/alpaca_provider.py; options-bot/data/options_data_fetcher.py; options-bot/data/theta_provider.py; options-bot/data/validator.py; options-bot/data/vix_provider.py; options-bot/main.py; options-bot/ml/ensemble_predictor.py; options-bot/ml/feature_engineering/base_features.py...,227,variable,,
options-bot/backend/app.py,total_trades,variable,113,TRUE,options-bot/backend/routes/trades.py; options-bot/backend/schemas.py; options-bot/scripts/walk_forward_backtest.py; options-bot/ui/src/pages/ProfileDetail.tsx; options-bot/ui/src/types/api.ts,14,variable,,
options-bot/backend/app.py,sharpe,variable,114,TRUE,options-bot/scripts/walk_forward_backtest.py,2,variable,,
options-bot/backend/app.py,max_dd,variable,115,TRUE,,0,variable,,
options-bot/backend/app.py,total_return,variable,116,TRUE,options-bot/scripts/walk_forward_backtest.py,1,variable,,
options-bot/backend/app.py,win_rate,variable,117,TRUE,options-bot/backend/routes/trades.py; options-bot/backend/schemas.py; options-bot/scripts/walk_forward_backtest.py; options-bot/ui/src/pages/Dashboard.tsx; options-bot/ui/src/pages/ProfileDetail.tsx; options-bot/ui/src/types/api.ts,21,variable,,
options-bot/backend/app.py,completed_result,variable,155,TRUE,,0,variable,,
options-bot/backend/app.py,cursor,variable,205,TRUE,options-bot/backend/database.py; options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py; options-bot/backend/routes/signals.py; options-bot/backend/routes/system.py; options-bot/backend/routes/trades.py; options-bot/backend/routes/trading.py; options-bot/main.py; options-bot/ml/incremental_trainer.py; options-bot/risk/risk_manager.py...,121,variable,,
options-bot/backend/app.py,active_rows,variable,208,TRUE,options-bot/backend/routes/trading.py,2,variable,,
options-bot/backend/app.py,cursor,variable,295,TRUE,options-bot/backend/database.py; options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py; options-bot/backend/routes/signals.py; options-bot/backend/routes/system.py; options-bot/backend/routes/trades.py; options-bot/backend/routes/trading.py; options-bot/main.py; options-bot/ml/incremental_trainer.py; options-bot/risk/risk_manager.py...,121,variable,,
options-bot/backend/app.py,profile_row,variable,296,TRUE,,0,variable,,
options-bot/backend/app.py,cursor2,variable,309,TRUE,options-bot/backend/routes/system.py; options-bot/main.py,4,variable,,
options-bot/backend/app.py,model_row,variable,312,TRUE,options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py,33,variable,,
options-bot/backend/app.py,cursor,variable,376,TRUE,options-bot/backend/database.py; options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py; options-bot/backend/routes/signals.py; options-bot/backend/routes/system.py; options-bot/backend/routes/trades.py; options-bot/backend/routes/trading.py; options-bot/main.py; options-bot/ml/incremental_trainer.py; options-bot/risk/risk_manager.py...,121,variable,,
options-bot/backend/app.py,row,variable,380,TRUE,options-bot/backend/database.py; options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py; options-bot/backend/routes/signals.py; options-bot/backend/routes/system.py; options-bot/backend/routes/trades.py; options-bot/backend/routes/trading.py; options-bot/backend/schemas.py; options-bot/data/options_data_fetcher.py; options-bot/data/theta_provider.py...,306,variable,,
options-bot/backend/app.py,data,variable,390,TRUE,options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py; options-bot/backend/routes/system.py; options-bot/backend/routes/trades.py; options-bot/config.py; options-bot/data/alpaca_provider.py; options-bot/data/earnings_calendar.py; options-bot/data/greeks_calculator.py; options-bot/data/options_data_fetcher.py; options-bot/data/provider.py...,426,variable,,
options-bot/backend/app.py,file_path,variable,433,TRUE,options-bot/backend/database.py; options-bot/backend/routes/models.py; options-bot/backend/routes/profiles.py; options-bot/backend/schemas.py; options-bot/main.py; options-bot/ml/ensemble_predictor.py; options-bot/ml/incremental_trainer.py; options-bot/ml/lgbm_trainer.py; options-bot/ml/scalp_trainer.py; options-bot/ml/swing_classifier_trainer.py...,34,variable,,
options-bot/backend/app.py,total_trades,variable,121,TRUE,options-bot/backend/routes/trades.py; options-bot/backend/schemas.py; options-bot/scripts/walk_forward_backtest.py; options-bot/ui/src/pages/ProfileDetail.tsx; options-bot/ui/src/types/api.ts,14,variable,,
