file,line,kind,module_or_stmt,name
options-bot/backend/app.py,8,import,json,
options-bot/backend/app.py,9,import,logging,
options-bot/backend/app.py,10,import,threading,
options-bot/backend/app.py,11,from,contextlib,asynccontextmanager
options-bot/backend/app.py,12,from,datetime,datetime
options-bot/backend/app.py,12,from,datetime,timezone
options-bot/backend/app.py,13,from,pathlib,Path
options-bot/backend/app.py,15,from,fastapi,APIRouter
options-bot/backend/app.py,15,from,fastapi,FastAPI
options-bot/backend/app.py,16,from,fastapi.middleware.cors,CORSMiddleware
options-bot/backend/app.py,17,from,fastapi.staticfiles,StaticFiles
options-bot/backend/app.py,18,from,fastapi.responses,FileResponse
options-bot/backend/app.py,19,import,aiosqlite,
options-bot/backend/app.py,21,from,backend.database,get_db
options-bot/backend/app.py,21,from,backend.database,init_db
options-bot/backend/app.py,22,from,backend.routes,models
options-bot/backend/app.py,22,from,backend.routes,profiles
options-bot/backend/app.py,22,from,backend.routes,signals
options-bot/backend/app.py,22,from,backend.routes,system
options-bot/backend/app.py,22,from,backend.routes,trades
options-bot/backend/app.py,22,from,backend.routes,trading
options-bot/backend/app.py,23,from,backend.schemas,BacktestRequest
options-bot/backend/app.py,23,from,backend.schemas,BacktestResult
options-bot/backend/app.py,24,from,config,VERSION
options-bot/backend/app.py,39,import,asyncio,
options-bot/backend/app.py,40,import,aiosqlite,
options-bot/backend/app.py,44,import,sys,
options-bot/backend/app.py,45,from,pathlib,Path
options-bot/backend/app.py,47,from,config,DB_PATH
options-bot/backend/app.py,94,from,datetime,datetime
options-bot/backend/app.py,95,import,sys,
options-bot/backend/app.py,96,from,pathlib,Path
options-bot/backend/app.py,98,from,scripts.backtest,run_backtest
options-bot/backend/app.py,199,from,config,DB_PATH
options-bot/backend/app.py,308,from,config,DB_PATH
options-bot/backend/app.py,309,import,aiosqlite,
options-bot/backend/app.py,319,from,fastapi,HTTPException
options-bot/backend/app.py,323,from,fastapi,HTTPException
options-bot/backend/app.py,338,from,fastapi,HTTPException
options-bot/backend/app.py,347,from,fastapi,HTTPException
options-bot/backend/app.py,354,import,json,
options-bot/backend/app.py,392,from,config,DB_PATH
options-bot/backend/app.py,393,import,aiosqlite,
options-bot/backend/database.py,6,import,aiosqlite,
