file,line,sql_op_guess,snippet
options-bot/backend/database.py,154,PRAGMA,"await db.execute(""PRAGMA journal_mode=WAL"")"
options-bot/backend/database.py,155,unknown,await db.executescript(SCHEMA_SQL)
options-bot/backend/database.py,161,ALTER,"await db.execute(""ALTER TABLE training_logs ADD COLUMN profile_id TEXT"")"
options-bot/backend/database.py,174,ALTER,"await db.execute(f""ALTER TABLE trades ADD COLUMN {col} {col_type}"")"
options-bot/backend/database.py,185,unknown,cursor = await db.execute(
options-bot/backend/database.py,191,unknown,await db.execute(
options-bot/backend/database.py,204,unknown,cursor = await db.execute(
options-bot/backend/app.py,50,unknown,await db.execute(
options-bot/backend/app.py,205,unknown,cursor = await db.execute(
options-bot/backend/app.py,216,unknown,await db.execute(
options-bot/backend/app.py,225,SELECT,"cursor = await db.execute(""SELECT id, profile_id, file_path, status FROM models"")"
options-bot/backend/app.py,231,unknown,await db.execute(
options-bot/backend/app.py,316,SELECT,"cursor = await db.execute(""SELECT * FROM profiles WHERE id = ?"", (profile_id,))"
options-bot/backend/app.py,330,unknown,cursor2 = await db.execute(
options-bot/backend/app.py,397,unknown,cursor = await db.execute(
options-bot/backend/db_log_handler.py,36,PRAGMA,"conn.execute(""PRAGMA journal_mode=WAL"")"
options-bot/backend/db_log_handler.py,37,unknown,conn.execute(
options-bot/backend/db_log_handler.py,75,PRAGMA,"conn.execute(""PRAGMA journal_mode=WAL"")"
options-bot/backend/db_log_handler.py,76,unknown,conn.execute(
options-bot/backend/routes/profiles.py,101,unknown,cursor = await db.execute(
options-bot/backend/routes/profiles.py,109,unknown,cursor = await db.execute(
options-bot/backend/routes/profiles.py,118,unknown,cursor = await db.execute(
options-bot/backend/routes/profiles.py,137,SELECT,"cursor = await db.execute(""SELECT * FROM profiles WHERE id = ?"", (profile_id,))"
options-bot/backend/routes/profiles.py,143,SELECT,"mcursor = await db.execute(""SELECT * FROM models WHERE id = ?"", (row[""model_id""],))"
options-bot/backend/routes/profiles.py,145,unknown,all_mcursor = await db.execute(
options-bot/backend/routes/profiles.py,168,SELECT,"cursor = await db.execute(""SELECT * FROM profiles ORDER BY created_at DESC"")"
